TotalData(MB),ChunkSize(KB),Throughput(Mbps)
10,1,8442.64
TotalData(MB),ChunkSize(KB),Throughput(Mbps)
10,2,20034.89
TotalData(MB),ChunkSize(KB),Throughput(Mbps)
10,4,28064.93
TotalData(MB),ChunkSize(KB),Throughput(Mbps)
10,8,38568.31
TotalData(MB),ChunkSize(KB),Throughput(Mbps)
10,16,42153.81
